rp_name,rp,rp_id,rp_note,Producer
2023 Chateau de Coulaine Chinon,89,https://www.robertparker.com/wines/rtHrSWfvfjEWLoWYH/chateau-de-coulaine-chinon-2023,"Due to be bottled in August, the 2023 Chinon offers up aromas of raspberries, violet, cherries and flowers, followed by a medium-bodied, juicy and round palate with velvety tannins and a long, mouthwatering finish. This is a straightforward Chinon.",chateau de coulaine
2022 Chateau de Coulaine Chinon Clos de Turpenay,91,https://www.robertparker.com/wines/jEczQbTnEJPxB8BMr/chateau-de-coulaine-chinon-clos-de-turpenay-2022,"Due to be bottled in September 2024, the 2022 Chinon Clos de Turpenay reveals the depth and complexity expected of a vineyard with a massal selection of vines planted between 1960 and 1995 with vines facing southeast on clay soils, contributing to the wine's robust profile. It reveals aromas of dark wild berries, spices, licorice, cassis and flowers mingled with delicate oaky notes. Medium to full-bodied, concentrated and rich, it has a fleshy core of fruit, velvety tannins and a long, penetrating and dense finish.",chateau de coulaine
2022 Chateau de Coulaine Clos de la Cure,91,https://www.robertparker.com/wines/FnabfjQajEtz72F3N/chateau-de-coulaine-clos-de-la-cure-2022,"Crafted from vines planted on deep clay soils facing north with a calcareous bedrock, the 2022 Clos de la Cure reveals a delicate, pure bouquet of lemon, grapefruit, white fruits and spices. Medium to full-bodied, round and sappy with a fleshy core of fruit, it’s perfectly balanced with gastronomic bitterness and a long, mineral finish. This is a pure, elegant Chenin Blanc.",chateau de coulaine
2022 Chateau de Coulaine Chinon Bonnaventure,90,https://www.robertparker.com/wines/XmMazgFd3jFHyereC/chateau-de-coulaine-chinon-bonnaventure-2022,"The 2022 Chinon Bonnaventure, derived from vines planted on sandy and chalky soils, exhales aromas of iris, lilac, peony and cherries mingled with spices and chocolate. Medium-bodied, round and supple, it’s framed by powdery tannins that contribute to the long, mouthwatering and penetrating finish.",chateau de coulaine
2022 Chateau de Coulaine Chinon Sinople,90,https://www.robertparker.com/wines/Krna3cBRBteyo3iAt/chateau-de-coulaine-chinon-sinople-2022,"Aromas of ripe orchard fruits, spices, herbs, flint and Mirabelle emerge from the 2022 Chinon Sinople, a moderately weighted, enveloping and charming Chenin with a lively core of spine and bright acids that segues into a gently oaky, mineral and long finish. This is a great effort.",chateau de coulaine
2022 Chateau de Coulaine Chinon Les Picasses,88,https://www.robertparker.com/wines/SZC2RFiyThxoJG92M/chateau-de-coulaine-chinon-les-picasses-2022,"Crafted from vines planted on Turonian chalk with clay topsoil and matured for one year in barrels, 15% of which were new, the 2022 Chinon Les Picasses evokes aromas of oak, smoke, spices and dark wild berries. It is medium-bodied with a creamy texture and a somewhat dry structure dominated by new oak. With greater purity of fruit and powdery tannins, it would score higher.",chateau de coulaine
2020 Chateau de Coulaine Chinon La Diablesse,89,https://www.robertparker.com/wines/mGhvr24Pz7LXfLt5F/chateau-de-coulaine-chinon-la-diablesse-2020,"The 2020 Chinon La Diablesse, a superb terroir of chalk, clay and sand, reveals aromas of forest floor, oak, coniferous forest and spices. Moderately weighted with a rich, concentrated core of fruit, it’s marked by pronounced oaky notes and rustic, dry tannins that are a direct result of its exposure to oak during the maturation process.",chateau de coulaine
2019 Chateau de Coulaine Chinon Les Pieds Rôtis,93,https://www.robertparker.com/wines/aEfDCRPusYuSooD3n/chateau-de-coulaine-chinon-les-pieds-roties-2019,"The 2019 Chinon Les Pieds Rôtis is from the lieu-dit of Château de Coulaine on the left bank of the Vienne River, where the terroir is pretty complex, with gravel, red clay and white limestone soils. The nose is intense, with ripe pear aromas, yet also wild and pretty ""natural,"" with flinty tones and remarkable depth and purity. Round, fresh and very elegant on the palate, this is a long and complex, very intense and sustainably salty Chenin with stewed and essential (red-skinned) pear aromas on the mid-palate. The finish is also finely tannic and delivers pastry, some black chocolate and lemon notes. It's an impressive and pretty unique wine from what was formerly a Touraine AOP. I tasted this in June 2021 from a Zalto Universal glass, which is better than any Burgundy glass for this wine because it underlines the purity and mineral freshness rather than the body and opulent texture. Aged in old barriques for 12 months. No added sulfur.",chateau de coulaine
2019 Chateau de Coulaine Chinon La Diablesse,93,https://www.robertparker.com/wines/GuGee5rRquaoN853f/chateau-de-coulaine-chinon-la-diablesse-2019,"From grapes grown in Beaumont en Véron on the so-called Picasse terroir on pure clay-limestone soils, the 2019 Chinon La Diablesse is based on the fruit of 80-year-old vines. Naturally fermented in concrete and aged in 400-liter barrels for 11 months before bottling, the unified and unfiltered red opens with a pure, intense and elegant nose with perfectly ripe elderberry aromas. Silky, crystalline, fresh and enormously vital, this is a full-bodied, intense and elegant Chinon from a 0.8-hectare plot. The wine has a lot of energy and tension but needs a couple of years to show its class, which is not based on power and intensity but freshness and purity of fruit. Tasted in June 2021.",chateau de coulaine
2019 Chateau de Coulaine Chinon Les Picasses,(92-93),https://www.robertparker.com/wines/nFRS8KTbhzztdKyiH/chateau-de-coulaine-chinon-les-picasses-2019,"The 2019 Chinon Les Picasses is deep, pure, fresh and spicy on the nose that displays an elegant and perfectly aromatic bouquet of dark berries and crushed stones. Silky, fresh and vital on the palate, this is a pure yet tensioned and juicy Chinon with fine tannins that are perfectly intertwined with the vibrant acidity and stimulating salinity. This is a promising, very elegant, fresh and tensioned Picasses with intense and juicy cherry and dark berry fruit. Tasted as a sample in spring 2021.",chateau de coulaine
2019 Chateau de Coulaine Chinon,90+,https://www.robertparker.com/wines/gb9eZjPsQygtJSx5W/chateau-de-coulaine-chinon-2019,"The 2019 Chinon is very fruity and aromatic on the pure, floral, coolish-elegant and balanced nose that shows perfectly ripe dark berry, spicy and floral aromas that attract immediately. Lush and round on the palate, this is a smooth, round and juicy, very delicate but powerful Chinon with a long, intense and structured finish. The tannins are fine but firm and perfectly interwoven with the salinity of this excellent Chinon. Tasted in June 2021.",chateau de coulaine
2019 Chateau de Coulaine Chinon Bonnaventure,89+,https://www.robertparker.com/wines/oxTFcMkF6Lwn8xFJk/chateau-de-coulaine-chinon-bonnaventure-2019,"From calcareous sand and clay soils directly behind the château, the 2019 Chinon Bonnaventure offers a deep and intense yet pure, fresh and authentic sour cherry and sauerbraten nose with yeasty, ""low-sulfur"" and discreet flinty notes. Full-bodied, round and intense on the palate, this is a silky-textured and vital Chinon with fine and ripe tannins and a tart, lemon-bitter and round finish. Although the wine is already accessible, I think the bitter and round elements will better intertwine after aging in bottle a while. Tasted in June 2021.",chateau de coulaine
2018 Chateau de Coulaine Chinon Clos de Turpenay,92,https://www.robertparker.com/wines/MWXC9tFgpsT9ihxuH/chateau-de-coulaine-chinon-clos-de-turpenay-2018,"The 2018 Chinon Clos de Turpenay is deep, intense and concentrated yet quite open on the nose that reveals sweet, ripe black berry and some minty and dark-chocolate aromas. Round and smooth on the palate, this is an elegant, rich, concentrated and pretty massive Chinon with typical features of the vintage but also vitality in the background. Very long and tensioned, this 2018 should have excellent aging potential. Tasted in June 2021.",chateau de coulaine
2018 Chateau de Coulaine Chinon La Diablesse,92,https://www.robertparker.com/wines/6csWnoNG6NdnZp9q2/chateau-de-coulaine-chinon-la-diablesse-2018,"The 2018 Chinon La Diablesse is concentrated, deep and intense on the nose yet less aromatic and fresh than the exciting 2019. The dark fruit aromas are imbedded into a chassis with earthy and spicy flavors. On the palate, this is a full-bodied, round, lush, intense and silky-textured Chinon with lots of power, tight tannins and refreshing mineral acidity. Though it is currently still slightly astringent, the clear, intense and powerful finish also healthy tension for further development. Very concentrated in everything: fruit, acidity, tannins, power and tension. A bit overloaded for now, but the 2018 will show great in a decade. Tasted in June 2021.",chateau de coulaine
